main_category,category,no_of_projects,average_goal,average_pledged,average_subscription,total_projects,succ_raise_no,pct_succ
Art,Ceramics,305,12958.27,4705.87,70.3,305,132,0.433
Art,Conceptual Art,1030,43058.72,1627.22,1098.0,1030,366,0.355
Art,Digital Art,1346,10565.53,1883.51,164.8,1346,371,0.276
Art,Illustration,3175,28901.61,3429.81,207.8,3175,1626,0.512
Art,Installations,482,150500.91,4541.83,75.5,482,233,0.483
Art,Mixed Media,2757,14615.49,2554.35,62.6,2757,945,0.343
Art,Painting,3294,38486.22,1898.22,97.9,3294,1149,0.349
Art,Performance Art,2154,13320.36,2315.55,60.4,2154,934,0.434
Art,Public Art,3077,80941.68,4684.31,79.6,3077,1543,0.501
Art,Sculpture,1810,14663.44,4738.36,1642.5,1810,698,0.386
Art,Textiles,276,33473.24,2057.89,74.2,276,77,0.279
Art,Video Art,194,25868.62,2790.18,34.8,194,51,0.263
Comics,Anthologies,405,9190.48,13441.45,171.0,405,303,0.748
Comics,Comic Books,2743,5713.05,3413.44,1508.2,2743,1614,0.588
Comics,Events,163,12213.66,3312.59,73.3,163,50,0.307
Comics,Graphic Novels,1864,9885.48,8216.53,707.9,1864,1011,0.542
Comics,Webcomics,648,11636.56,12651.19,164.2,648,358,0.552
Crafts,Candles,429,5702.29,563.84,31.0,429,55,0.128
Crafts,Crochet,162,3693.39,297.54,68.4,162,35,0.216
Crafts,DIY,1173,17837.44,1113.52,43.6,1173,183,0.156
Crafts,Embroidery,113,4452.49,840.49,39.0,113,19,0.168
Crafts,Glass,138,8431.49,1473.03,51.4,138,38,0.275
Crafts,Knitting,181,5993.51,3737.18,110.8,181,85,0.470
Crafts,Letterpress,38,5323.05,5334.20,168.0,38,25,0.658
Crafts,Pottery,100,7307.66,3872.12,79.9,100,44,0.440
Crafts,Printing,238,7784.66,861.25,5328.2,238,49,0.206
Crafts,Quilts,81,11836.07,2104.71,44.6,81,19,0.235
Crafts,Stationery,219,3782.71,1715.57,163.3,219,77,0.352
Crafts,Taxidermy,13,24722.32,2936.69,59.8,13,5,0.385
Crafts,Weaving,93,19611.90,5018.91,67.2,93,27,0.290
Crafts,Woodworking,1167,11597.61,1599.73,253.2,1167,292,0.250
Dance,Performances,1013,11133.02,3343.41,75.0,1013,624,0.616
Dance,Residencies,69,11802.97,3316.02,82.3,69,50,0.725
Dance,Spaces,200,21238.07,4130.98,48.1,200,72,0.360
Dance,Workshops,164,9756.00,1663.99,53.3,164,50,0.305
