title,main_category,category,usd_pledged_real,usd_goal_real
"Pebble Time - Awesome Smartwatch, No Compromises",Design,Product Design,20338986.27,500000.00
COOLEST COOLER: 21st Century Cooler that's Actually Cooler,Design,Product Design,13285226.36,50000.00
"Pebble 2, Time 2 + All-New Pebble Core",Design,Product Design,12779843.49,1000000.00
Kingdom Death: Monster 1.5,Games,Tabletop Games,12393139.69,100000.00
Pebble: E-Paper Watch for iPhone and Android,Design,Product Design,10266845.74,100000.00
The World's Best TRAVEL JACKET with 15 Features || BAUBAX,Design,Product Design,9192055.66,20000.00
Exploding Kittens,Games,Tabletop Games,8782571.99,10000.00
OUYA: A New Kind of Video Game Console,Games,Gaming Hardware,8596474.58,950000.00
"THE 7th CONTINENT – What Goes Up, Must Come Down.",Games,Tabletop Games,7072757.00,40000.00
"The Everyday Backpack, Tote, and Sling",Design,Product Design,6565782.50,500000.00
Fidget Cube: A Vinyl Desk Toy,Design,Product Design,6465690.30,15000.00
Shenmue 3,Games,Video Games,6333295.77,2000000.00
Pono Music - Where Your Soul Rediscovers Music,Technology,Sound,6225354.98,800000.00
Bring Back MYSTERY SCIENCE THEATER 3000,Film & Video,Television,5764229.38,2000000.00
The Veronica Mars Movie Project,Film & Video,Narrative Film,5702153.38,2000000.00
Bloodstained: Ritual of the Night,Games,Video Games,5545991.70,500000.00
Dark Souls™ - The Board Game,Games,Tabletop Games,5494492.81,72842.76
"Bring Reading Rainbow Back for Every Child, Everywhere!",Technology,Web,5408916.95,1000000.00
ZeTime: World's first smartwatch with hands over touchscreen,Technology,Wearables,5333792.84,50000.00
Redefining Italian Luxury Watches - Filippo Loreti,Design,Design,5020667.05,20877.92
Zombicide: Green Horde,Games,Tabletop Games,5004494.58,300000.00
The Everyday Messenger: A Bag For Cameras & Essential Carry,Design,Product Design,4869472.20,100000.00
"Gravity: The Weighted Blanket for Sleep, Stress and Anxiety",Design,Product Design,4729263.13,21500.00
Pimax: The World's First 8K VR Headset,Technology,Hardware,4236618.49,200000.00
Rising Sun,Games,Tabletop Games,4228060.00,300000.00
Join The Luxury Watch Revolution - Filippo Loreti,Design,Design,4198137.57,23754.10
Torment: Tides of Numenera,Games,Video Games,4188927.49,900000.00
Zombicide: Black Plague,Games,Tabletop Games,4079204.52,125000.00
Gloomhaven (Second Printing),Games,Tabletop Games,3999795.77,100000.00
Project Eternity,Games,Video Games,3986929.49,1100000.00
Mighty No. 9,Games,Video Games,3845170.68,900000.00
Amabrush - World's First Automatic Toothbrush,Design,Product Design,3763048.66,58824.91
Massive Darkness,Games,Tabletop Games,3560642.66,200000.00
ZANO - Autonomous. Intelligent. Swarming. Nano Drone.,Technology,Technology,3536988.20,189336.56
Reaper Miniatures Bones: An Evolution Of Gaming Miniatures,Games,Games,3429235.52,30000.00
The Micro: The First Truly Consumer 3D Printer,Technology,3D Printing,3401361.08,50000.00
The Dash – Wireless Smart In Ear Headphones,Design,Product Design,3390551.00,260000.00
Double Fine Adventure,Games,Video Games,3336371.92,400000.00
Conan,Games,Tabletop Games,3327757.00,80000.00
Yooka-Laylee - A 3D Platformer Rare-vival!,Games,Video Games,3310374.26,277170.64
G-RO: Revolutionary Carry-on Luggage,Design,Product Design,3307773.49,125000.00
Ashes of Creation ~ New MMORPG by Intrepid Studios,Games,Video Games,3271809.31,750000.00
Joking Hazard,Games,Tabletop Games,3246588.55,10000.00
Bears vs Babies - A Card Game,Games,Tabletop Games,3215679.79,10000.00
Ticwatch S & E: A Truly Optimized Smartwatch,Technology,Wearables,3203762.00,100000.00
Reaper Miniatures Bones II: The Return Of Mr Bones!,Games,Tabletop Games,3169610.66,30000.00
"Nebia Shower - Better experience, 70% less water",Design,Product Design,3126114.96,100000.00
WISH I WAS HERE,Film & Video,Narrative Film,3105473.10,2000000.00
